Citation/Document Number,Type,Relation
"JP2017501167","Patent","Citation Family Member"
"JP2017507900","Patent","Citation Family Member"
"JP2017537090","Patent","Citation Family Member"
"HU047699","Patent","Citation Family Member"
"DK3083686","Patent","Citation Family Member"
"PL3083686","Patent","Citation Family Member"
"ES2763429","Patent","Citation Family Member"
"TR201918280","Patent","Citation Family Member"
"FI3083686","Patent","Citation Family Member"
"TW201639886","Patent","Citation Family Member"
"IN201747022885","Patent","Citation Family Member"
"CN107249624","Patent","Citation Family Member"
"KR20170120155","Patent","Citation Family Member"
"RU2017133449","Patent","Citation Family Member"
"MX2017011003","Patent","Citation Family Member"
"EP3261663","Patent","Citation Family Member"
"BR112017016434","Patent","Citation Family Member"
"AR103726","Patent","Citation Family Member"
"AU2016223047","Patent","Citation Family Member"
"CA2975623","Patent","Citation Family Member"
"US2018237524","Patent","Citation Family Member"
"AU2022200142","Patent","Citation Family Member"
"TWI714552","Patent","Citation Family Member"
"MX391190","Patent","Citation Family Member"
"KR102622285","Patent","Citation Family Member"
"JP6999419","Patent","Citation Family Member"
"US11014986","Patent","Citation Family Member"
"JP2018510142","Patent","Citation Family Member"
"KR20170140316","Patent","Citation Family Member"
"KR20250107941","Patent","Citation Family Member"
"EP3288980","Patent","Citation Family Member"
"JP2021105001","Patent","Citation Family Member"
"JP2024063028","Patent","Citation Family Member"
"US2016362489","Patent","Citation Family Member"
"US2020010549","Patent","Citation Family Member"
"US2022281974","Patent","Citation Family Member"
"US12617850","Patent","Citation Family Member"
"DE602016053979","Patent","Citation Family Member"
"JP2018515474","Patent","Citation Family Member"
"ES2861352","Patent","Citation Family Member"
"US2018162942","Patent","Citation Family Member"
"US2022002413","Patent","Citation Family Member"
"US2025145712","Patent","Citation Family Member"
"US11078278","Patent","Citation Family Member"
"US12152075","Patent","Citation Family Member"
"KR20180030911","Patent","Citation Family Member"
"CN108235685","Patent","Citation Family Member"
"KR20180088907","Patent","Citation Family Member"
"PH2018500097","Patent","Citation Family Member"
"KR20180094977","Patent","Citation Family Member"
"CN108495651","Patent","Citation Family Member"
"CN108697794","Patent","Citation Family Member"
"IN201817026560","Patent","Citation Family Member"
"ID201812436","Patent","Citation Family Member"
"PH2018501206","Patent","Citation Family Member"
"RU2018105846","Patent","Citation Family Member"
"RU2018125603","Patent","Citation Family Member"
"RU2018125773","Patent","Citation Family Member"
"IL259729","Patent","Citation Family Member"
"IL256775","Patent","Citation Family Member"
"IL259987","Patent","Citation Family Member"
"WO17017624","Patent","Citation Family Member"
"WO2017017624","Patent","Citation Family Member"
"EP3328407","Patent","Citation Family Member"
"CL2018000223","Patent","Citation Family Member"
"CL2018001560","Patent","Citation Family Member"
"MX2018001268","Patent","Citation Family Member"
"HK1247850","Patent","Citation Family Member"
"EP3389712","Patent","Citation Family Member"
"MX2018007423","Patent","Citation Family Member"
"HK1254635","Patent","Citation Family Member"
"HK1262462","Patent","Citation Family Member"
"WO17106810","Patent","Citation Family Member"
"WO2017106810","Patent","Citation Family Member"
"BR112018001640","Patent","Citation Family Member"
"EP3389713","Patent","Citation Family Member"
"BR112018012138","Patent","Citation Family Member"
"JP2020143149","Patent","Citation Family Member"
"JP2022180567","Patent","Citation Family Member"
"EP4424322","Patent","Citation Family Member"
"JP2024174916","Patent","Citation Family Member"
"AU2016298823","Patent","Citation Family Member"
"CA2993908","Patent","Citation Family Member"
"AU2016369623","Patent","Citation Family Member"
"AU2016369537","Patent","Citation Family Member"
"CA3007421","Patent","Citation Family Member"
"US2018177872","Patent","Citation Family Member"
"CA3007671","Patent","Citation Family Member"
"US2018371093","Patent","Citation Family Member"
"AU2020201057","Patent","Citation Family Member"
"US2020261573","Patent","Citation Family Member"
"US2021121563","Patent","Citation Family Member"
"MX419991","Patent","Citation Family Member"
"KR102833068","Patent","Citation Family Member"
"JP7569166","Patent","Citation Family Member"
"JP7858002","Patent","Citation Family Member"
"US12630633","Patent","Citation Family Member"
"RU2788092","Patent","Citation Family Member"
"DE602016086872","Patent","Citation Family Member"
"JP2018523652","Patent","Citation Family Member"
"JP2019502695","Patent","Citation Family Member"
"JP2019503349","Patent","Citation Family Member"
"ES2986067","Patent","Citation Family Member"
"TR2024008569","Patent","Citation Family Member"
"CN108883091","Patent","Citation Family Member"
"CN108883132","Patent","Citation Family Member"
"CN109069426","Patent","Citation Family Member"
"CN109069486","Patent","Citation Family Member"
"CN118948848","Patent","Citation Family Member"
"WO17106332","Patent","Citation Family Member"
"WO2017106332","Patent","Citation Family Member"
"WO17106328","Patent","Citation Family Member"
"WO2017106328","Patent","Citation Family Member"
"WO17112894","Patent","Citation Family Member"
"WO2017112894","Patent","Citation Family Member"
"EP3389634","Patent","Citation Family Member"
"EP3389652","Patent","Citation Family Member"
"EP3393468","Patent","Citation Family Member"
"EP3405203","Patent","Citation Family Member"
"HK1262619","Patent","Citation Family Member"
"HK1262818","Patent","Citation Family Member"
"HK1262621","Patent","Citation Family Member"
"JP2021178870","Patent","Citation Family Member"
"JP2021181501","Patent","Citation Family Member"
"JP2022082565","Patent","Citation Family Member"
"CA3008279","Patent","Citation Family Member"
"CA3008272","Patent","Citation Family Member"
"CA3009176","Patent","Citation Family Member"
"CA3010617","Patent","Citation Family Member"
"US2018369229","Patent","Citation Family Member"
"US2018369167","Patent","Citation Family Member"
"US2019030023","Patent","Citation Family Member"
"US2019083485","Patent","Citation Family Member"
"US2020268739","Patent","Citation Family Member"
"US2022257586","Patent","Citation Family Member"
"US2025152575","Patent","Citation Family Member"
"JP6864296","Patent","Citation Family Member"
"JP6958820","Patent","Citation Family Member"
"JP7055380","Patent","Citation Family Member"
"JP7454255","Patent","Citation Family Member"
"US10610527","Patent","Citation Family Member"
"US10953003","Patent","Citation Family Member"
"US11219621","Patent","Citation Family Member"
"US11357742","Patent","Citation Family Member"
"DE602016064747","Patent","Citation Family Member"
"DE602016075354","Patent","Citation Family Member"
